Time,Participation,Plaza,NSE,Ages,Group,Role,Anonymized_Name,Cleaned_Participation,Cleaned_for_Beto,Thematic_Categories,BETO_Numeric_Sentiment_Processed
12:01:35 a. m.,Acompáñame a la clínica. de,CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,acompáñame clínica,acompáñame a la clínica. de,Unclassified,0
12:03:11 a. m.,perdón,CDMX,C+,35 - 55 años,0,Participant,d1a16b821b,perdón,perdón,Unclassified,-0.926632643
12:03:17 a. m.,"Iván Ignacio brugada, Burgos servidor",CDMX,C+,35 - 55 años,0,Participant,d1a16b821b,iván ignacio brugada burgos servidor,"iván ignacio brugada, burgos servidor",Unclassified,-0.965312481
12:03:33 a. m.,sí Listo ya me escuchan bien.,CDMX,C+,35 - 55 años,0,Participant,d1a16b821b,listo escuchan,sí listo ya me escuchan bien.,Unclassified,0.891739309
12:03:57 a. m.,"Sí, tema con los nombres por todos lados.",CDMX,C+,35 - 55 años,0,Participant,ca8b05a9b3,nombres lados,"sí, tema con los nombres por todos lados.",Unclassified,0
12:04:41 a. m.,Gracias.,CDMX,C+,35 - 55 años,0,Participant,598e49330d,gracias,gracias.,Unclassified,0.998385549
12:04:42 a. m.,Gracias Karime,CDMX,C+,35 - 55 años,0,Participant,ca8b05a9b3,gracias karime,gracias karime,Unclassified,0.995580375
12:04:42 a. m.,Gracias.,CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,gracias,gracias.,Unclassified,0.998385549
12:04:44 a. m.,Gracias.,CDMX,C+,35 - 55 años,0,Participant,601eede589,gracias,gracias.,Unclassified,0.998385549
12:10:28 a. m.,Sí sí me escuchas?,CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,escuchas,sí sí me escuchas?,General opinions about the country,0
12:10:31 a. m.,"Ajá bueno Me llamo Ana Karina Reyes Arriaga soy abogada Tengo cuarenta y ocho años, estoy casada y tengo un niño de 11 años.",CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,ajá llamo ana karina reyes arriaga abogada cuarenta ocho casada niño 11,"ajá bueno me llamo ana karina reyes arriaga soy abogada tengo cuarenta y ocho años, estoy casada y tengo un niño de 11 años.",General opinions about the country,0
12:10:44 a. m.,Gracias.,CDMX,C+,35 - 55 años,0,Participant,0a6bb8992c,gracias,gracias.,General opinions about the country,0.998385549
12:10:52 a. m.,Enrique Hola a todos Buenas noches Mi nombre es Enrique Vázquez tengo 42 años trabajo en una financiera como director de productos financieros estoy casado tengo dos niños una niña de diez años y otro niño de 13 años me encanta la música las motos y los deportes.,CDMX,C+,35 - 55 años,0,Participant,ca8b05a9b3,enrique hola buenas noches nombre enrique vázquez 42 trabajo financiera director productos financieros casado dos niños niña diez niño 13 encanta música motos deportes,enrique hola a todos buenas noches mi nombre es enrique vázquez tengo 42 años trabajo en una financiera como director de productos financieros estoy casado tengo dos niños una niña de diez años y otro niño de 13 años me encanta la música las motos y los deportes.,General opinions about the country,0.979882121
12:11:22 a. m.,"Buenas noches soy Iván Ignacio brugada, Burgos soy entrenador deportivo de profesión egresada de la escuela nacionales deportivos laborista desde los doce años egresado Tengo una hija de ocho años que es mi motivación Que me hace despertarme todos los días porque para tu temprano me aparte del voleibol, me gusta mucho la música soy fan del grupo Kiss este me gusta. Siempre estoy usando música viviendo temas deportivos y me importa mucho lo que acontece en mi país.",CDMX,C+,35 - 55 años,0,Participant,d1a16b821b,buenas noches iván ignacio brugada burgos entrenador deportivo profesión egresada escuela nacionales deportivos laborista doce egresado hija ocho motivación despertarme días temprano aparte voleibol música fan grupo kiss siempre usando música viviendo temas deportivos importa acontece país,"buenas noches soy iván ignacio brugada, burgos soy entrenador deportivo de profesión egresada de la escuela nacionales deportivos laborista desde los doce años egresado tengo una hija de ocho años que es mi motivación que me hace despertarme todos los días porque para tu temprano me aparte del voleibol, me gusta mucho la música soy fan del grupo kiss este me gusta. siempre estoy usando música viviendo temas deportivos y me importa mucho lo que acontece en mi país.",General opinions about the country,0
12:12:04 a. m.,Hola buenas noches se pronuncia no,CDMX,C+,35 - 55 años,0,Participant,598e49330d,hola buenas noches pronuncia,hola buenas noches se pronuncia no,General opinions about the country,0
12:12:08 a. m.,preocupes y me dicen jani. Este Bueno yo también soy abogada,CDMX,C+,35 - 55 años,0,Participant,598e49330d,preocupes dicen jani abogada,preocupes y me dicen jani. este bueno yo también soy abogada,General opinions about the country,0
12:12:15 a. m.,"Karina es mi colega. Este Tengo 51 años estoy casada y tengo un hijo de 14 años y pues lo que más me gusta, Pues sí es este informarme día a día de los acontecimientos de mi país. Y pues estarme actualizando también en las leyes y todo que hay no, porque van variando también.",CDMX,C+,35 - 55 años,0,Participant,598e49330d,karina colega 51 casada hijo 14 informarme día día acontecimientos país estarme actualizando leyes van variando,"karina es mi colega. este tengo 51 años estoy casada y tengo un hijo de 14 años y pues lo que más me gusta, pues sí es este informarme día a día de los acontecimientos de mi país. y pues estarme actualizando también en las leyes y todo que hay no, porque van variando también.",General opinions about the country,0.538190424
12:12:36 a. m.,"Este, porque así lo aplico yo en en mi carrera y también pues la política y todo esto no sirve no para el día a día. Ahora sí todos tenemos que estar actualizados.",CDMX,C+,35 - 55 años,0,Participant,598e49330d,aplico carrera política sirve día día actualizados,"este, porque así lo aplico yo en en mi carrera y también pues la política y todo esto no sirve no para el día a día. ahora sí todos tenemos que estar actualizados.",General opinions about the country,-0.84626466
12:12:47 a. m.,Gracias.,CDMX,C+,35 - 55 años,0,Participant,598e49330d,gracias,gracias.,General opinions about the country,0.998385549
12:12:56 a. m.,Perdón Jorge Tengo 51 años soy,CDMX,C+,35 - 55 años,0,Participant,67d564110c,perdón jorge 51,perdón jorge tengo 51 años soy,General opinions about the country,0
12:13:00 a. m.,"administrador. Me gusta mucho todo lo que son los deportes soy un apasionado del fútbol tanto nacional como internacional me gusta mucho Ver películas series y soy medio Freak de de repente de las noticias internacionales de las nacionales también me gusta, pero como que las las internacionales me me llevan más la atención.",CDMX,C+,35 - 55 años,0,Participant,67d564110c,administrador deportes apasionado fútbol nacional internacional películas series medio freak repente noticias internacionales nacionales internacionales llevan atención,"administrador. me gusta mucho todo lo que son los deportes soy un apasionado del fútbol tanto nacional como internacional me gusta mucho ver películas series y soy medio freak de de repente de las noticias internacionales de las nacionales también me gusta, pero como que las las internacionales me me llevan más la atención.",General opinions about the country,0.99762398
12:13:28 a. m.,con gusto,CDMX,C+,35 - 55 años,0,Participant,67d564110c,gusto,con gusto,General opinions about the country,0.99867487
12:13:33 a. m.,"Y mi nombre es Ivette Olivier me gusta que me digan ibi, tengo 53 años. Soy casada. Tengo dos hijos de 21 y 23 años y dos mascotas dos gatitos y este también me encanta estar escuchando las noticias. Me gusta mucho estar informada y todos los días, lo Casi no veo la televisión, pero sí la aprendo para escuchar las noticias. Y la también el radio es lo que más este escucho más que música y etcétera las noticias.",CDMX,C+,35 - 55 años,0,Participant,a4b4b44906,nombre ivette olivier digan ibi 53 casada dos hijos 21 23 dos mascotas dos gatitos encanta escuchando noticias informada días casi televisión aprendo escuchar noticias radio escucho música etcétera noticias,"y mi nombre es ivette olivier me gusta que me digan ibi, tengo 53 años. soy casada. tengo dos hijos de 21 y 23 años y dos mascotas dos gatitos y este también me encanta estar escuchando las noticias. me gusta mucho estar informada y todos los días, lo casi no veo la televisión, pero sí la aprendo para escuchar las noticias. y la también el radio es lo que más este escucho más que música y etcétera las noticias.",General opinions about the country,0.982448518
12:14:08 a. m.,"Gracias, saludos a todos.",CDMX,C+,35 - 55 años,0,Participant,a4b4b44906,gracias saludos,"gracias, saludos a todos.",General opinions about the country,0.985341489
